2588151	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_AbVec6W-hIgLambda']
1945457	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pAS2htBID']
1945454	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pAS2hBID']
2136774	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Expression_vector_pCPC63']
1356753	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__mixed_culture', 'UNKNOWN__environmental_samples', 's__methanogenic_prokaryote_enrichment_culture_B31_1_27']
1527691	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Shuttle_vector_pRES']
1209516	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_DH7-24']
651991	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Allelic_replacement_vector_pMQ236']
1882243	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pLMF01']
1945465	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pAS2-mRIP1-KD-ID']
46465	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__environmental_samples', 'UNKNOWN__unidentified_soil_organisms', 's__unidentified_soil_organism']
2204079	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pAP151']
